complaint_id,date_received,district_occurrence,general_cap_classification,summary,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",64290544,black,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",64290544,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0014,2016-01-13,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-4-15 at 6:15pm they were harassed by officers assigned to the 24th District.",46250306,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0014,2016-01-13,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-4-15 at 6:15pm they were harassed by officers assigned to the 24th District.",74387323,latino,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0014,2016-01-13,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-4-15 at 6:15pm they were harassed by officers assigned to the 24th District.",78960725,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0015,2016-01-13,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-15 at 7:00pm, they were harassed by officers assigned to the 35th District.",64999849,white,male,3500 35TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
16-0015,2016-01-13,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-15 at 7:00pm, they were harassed by officers assigned to the 35th District.",64999849,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0015,2016-01-13,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-15 at 7:00pm, they were harassed by officers assigned to the 35th District.",24055692,white,male,3500 35TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
16-0015,2016-01-13,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-15 at 7:00pm, they were harassed by officers assigned to the 35th District.",24055692,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0016,2016-01-15,0300,PHYSICAL ABUSE,"According to the complainant, on 1-8-16 at 4:30am, they were physically and verbally abused by officers assigned to the 3rd District.",68204080,white,male,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0016,2016-01-15,0300,PHYSICAL ABUSE,"According to the complainant, on 1-8-16 at 4:30am, they were physically and verbally abused by officers assigned to the 3rd District.",37460214,white,male,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0017,2016-01-19,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-8-16 at 1:20pm,, they were verbally abused by officers assigned to the 18th District.",68399946,white,male,1800 18TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0018,2016-01-15,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-2-15, they were verbally abused and did not receive proper service from a detective assigned to Northeast Detective Division.",33309442,white,male,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0018,2016-01-15,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-2-15, they were verbally abused and did not receive proper service from a detective assigned to Northeast Detective Division.",33309442,white,male,6400 NORTHEAST DET,Verbal Abuse,No Sustained Findings,Not Applicable
16-0018,2016-01-15,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-2-15, they were verbally abused and did not receive proper service from a detective assigned to Northeast Detective Division.",60845300,white,male,0200 02ND DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0019,2016-01-15,2200,CRIMINAL ALLEGATION,"According to the complainant, on 12-8-15 at 11:00am, property was missing after unidentified officers confiscated items from their residence. This incident happened within the confines of the 22nd District.",99819299,black,male,7403 NARC FIELD UNIT NOR,Criminal Allegation,No Sustained Findings,Not Applicable
16-0019,2016-01-15,2200,CRIMINAL ALLEGATION,"According to the complainant, on 12-8-15 at 11:00am, property was missing after unidentified officers confiscated items from their residence. This incident happened within the confines of the 22nd District.",99372636,black,female,7403 NARC FIELD UNIT NOR,Criminal Allegation,No Sustained Findings,Not Applicable
16-0019,2016-01-15,2200,CRIMINAL ALLEGATION,"According to the complainant, on 12-8-15 at 11:00am, property was missing after unidentified officers confiscated items from their residence. This incident happened within the confines of the 22nd District.",16920415,white,male,2200 22ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
16-0019,2016-01-15,2200,CRIMINAL ALLEGATION,"According to the complainant, on 12-8-15 at 11:00am, property was missing after unidentified officers confiscated items from their residence. This incident happened within the confines of the 22nd District.",82025567,black,male,5800 ACADEMY RECRUIT TRN,Criminal Allegation,No Sustained Findings,Not Applicable
16-0019,2016-01-15,2200,CRIMINAL ALLEGATION,"According to the complainant, on 12-8-15 at 11:00am, property was missing after unidentified officers confiscated items from their residence. This incident happened within the confines of the 22nd District.",20399991,white,female,9807 SUPP POLICE SERVICE,Criminal Allegation,No Sustained Findings,Not Applicable
16-0020,2016-01-15,0700,LACK OF SERVICE,"According to the complainant, on 12-30-15 at 6:30pm, they did not receive proper service from an officer assigned to the 7th District.",62882234,white,male,0700 07TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",19482290,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",80990621,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",44419538,asian,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",53768731,white,male,5900 EAST DETECTIVES,Lack of Service,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",30769540,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",89307271,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District.",43438493,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0022,2016-01-15,0600,LACK OF SERVICE,"According to the complainant, on 12-13-15 at 6:30pm, they did not receive proper service from officers assigned to the 6th District.",57953149,white,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0022,2016-01-15,0600,LACK OF SERVICE,"According to the complainant, on 12-13-15 at 6:30pm, they did not receive proper service from officers assigned to the 6th District.",23944970,latino,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0024,2016-01-15,1700,LACK OF SERVICE,"According to the complainant, on 12-10-15 at 9:30am,, they did not receive proper service from an officer assigned to the 17th District.",12387010,black,male,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0025,2016-01-15,0800,LACK OF SERVICE,"According to the complainant, on 1-2-16 at 4:05pm, they did not receive proper service from officers assigned to the 8th District.",48018762,white,female,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0025,2016-01-15,0800,LACK OF SERVICE,"According to the complainant, on 1-2-16 at 4:05pm, they did not receive proper service from officers assigned to the 8th District.",35777933,white,male,0800 08TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0026,2016-01-15,0800,HARASSMENT,"According to the complainant, on 1-5-16 at 6:15pm, they were threatened by an off-duty officer assigned to the Center City District. This incident took place with in the confines of the 8th District.",71873514,black,male,4500 CENTER CITY DISTRIC,Harassment,No Sustained Findings,Not Applicable
16-0027,2016-01-15,0800,PHYSICAL ABUSE,"According to the complainant, on 1-7-16 at 11:00pm, they were physically and verbally abused and falsely arrested by an officer assigned to the 8th District.",34000207,latino,female,9803 CIVIL AFFAIRS UNIT,Harassment,Sustained Finding,Training/Counseling
16-0027,2016-01-15,0800,PHYSICAL ABUSE,"According to the complainant, on 1-7-16 at 11:00pm, they were physically and verbally abused and falsely arrested by an officer assigned to the 8th District.",57849466,white,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0027,2016-01-15,0800,PHYSICAL ABUSE,"According to the complainant, on 1-7-16 at 11:00pm, they were physically and verbally abused and falsely arrested by an officer assigned to the 8th District.",57849466,white,male,0800 08TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0028,2016-01-14,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-8-16 at 12:30am, they were physically abused and treated unprofessionally by officers assigned to the 35th District.",31713678,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0028,2016-01-14,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-8-16 at 12:30am, they were physically abused and treated unprofessionally by officers assigned to the 35th District.",59281808,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0028,2016-01-14,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-8-16 at 12:30am, they were physically abused and treated unprofessionally by officers assigned to the 35th District.",31713678,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0029,2016-01-20,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-11-16 at 4:50pm, their family member was improperly stopped by an officer assigned to the 15th District.",52152368,white,male,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0029,2016-01-20,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-11-16 at 4:50pm, their family member was improperly stopped by an officer assigned to the 15th District.",37839242,black,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0029,2016-01-20,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-11-16 at 4:50pm, their family member was improperly stopped by an officer assigned to the 15th District.",82938806,black,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0030,2016-01-20,3900,LACK OF SERVICE,"According to the complainant, on 12-16-2015, they did not receive proper service from officers assigned to the 39th District.",41259767,black,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0031,2016-02-04,2500,NON-INVESTIGATORY INCIDENT,"According to the complainant, in 2004, they did not receive proper service from an officer assigned to the 17th District. This incident occurred in the confines of the 3rd District.",29622499,black,female,1700 17TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0032,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 12-24- at 6:00pm, they did not receive proper service from officers assigned to the 12th District.",93447744,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0032,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 12-24- at 6:00pm, they did not receive proper service from officers assigned to the 12th District.",42852441,black,female,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0033,2016-01-28,1700,LACK OF SERVICE,"According to the complainant, on several dates they did not receive proper service from officers assigned to the 3rd District and South Detective Division.",27812501,black,male,6100 SOUTH DETECTIVES,Lack of Service,No Sustained Findings,Not Applicable
16-0033,2016-01-28,1700,LACK OF SERVICE,"According to the complainant, on several dates they did not receive proper service from officers assigned to the 3rd District and South Detective Division.",64762613,black,male,6100 SOUTH DETECTIVES,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0033,2016-01-28,1700,LACK OF SERVICE,"According to the complainant, on several dates they did not receive proper service from officers assigned to the 3rd District and South Detective Division.",64762613,black,male,6100 SOUTH DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
16-0033,2016-01-28,1700,LACK OF SERVICE,"According to the complainant, on several dates they did not receive proper service from officers assigned to the 3rd District and South Detective Division.",54671670,white,male,0300 03RD DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",14582902,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",67255136,black,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",71920892,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",71920892,white,male,0200 02ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",67255136,black,male,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",47882806,latino,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",54817926,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",11370603,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",76712991,black,female,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District.",94589807,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District.",23705331,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District.",49811593,black,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District.",49811593,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District.",38731538,black,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District.",38731538,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District.",92223798,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0037,2016-01-27,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 01-19-16 at 1:18pm, they were harassed by officers assigned to the 18th District during a vehicle investigation.",12616350,black,female,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0037,2016-01-27,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 01-19-16 at 1:18pm, they were harassed by officers assigned to the 18th District during a vehicle investigation.",47878343,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0039,2016-01-27,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-16 at 9:45am, they were harassed by officers assigned to the 3rd District.",42237550,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0039,2016-01-27,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-16 at 9:45am, they were harassed by officers assigned to the 3rd District.",42237550,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0040,2016-01-27,N/A,VERBAL ABUSE,"According to the complainant, on 1-14-16 at 5:45pm, they were harassed by a off-duty officer assigned to the 3rd District.",85193063,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0041,2016-01-27,1200,HARASSMENT,"According to the complainant, in the fall of 2015, an unidentified officer acted inappropriately. This incident occurred in the confines of the 12th District.",28218995,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0042,2016-01-27,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-2 at 10:00pm, their residence was improperly entered and searched by officers assigned to the 35th District.",61918699,white,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0042,2016-01-27,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-2 at 10:00pm, their residence was improperly entered and searched by officers assigned to the 35th District.",48913461,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0043,2016-01-27,0500,VERBAL ABUSE,"According to the complainant, on 1-14-16 at 6:30pm, they were verbally abused by officers assigned to the 5th District.",16049920,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0044,2016-01-28,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-14-16 at 11:30pm, their vehicle was improperly searched by officers assigned to the 15th District.",27318803,white,female,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0044,2016-01-28,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-14-16 at 11:30pm, their vehicle was improperly searched by officers assigned to the 15th District.",76774103,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
16-0045,2016-02-04,1400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-19-16 at 12:00pm, they were improperly searched, falsely arrested by officers assigned to the 14th District.",36713144,white,male,1400 14TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0045,2016-02-04,1400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-19-16 at 12:00pm, they were improperly searched, falsely arrested by officers assigned to the 14th District.",55958959,white,male,1400 14TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0046,2016-02-04,1500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-24- at 10:45am, officers assigned to the 15th District did not follow proper police procedure.",67227670,white,male,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0046,2016-02-04,1500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-24- at 10:45am, officers assigned to the 15th District did not follow proper police procedure.",54089052,white,male,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0047,2016-01-28,3900,LACK OF SERVICE,"According to the complainant, on 12-31-15 at 6:59am, they did not receive proper service from a sergeant and an officer assigned to the 39th District.",39732152,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0047,2016-01-28,3900,LACK OF SERVICE,"According to the complainant, on 12-31-15 at 6:59am, they did not receive proper service from a sergeant and an officer assigned to the 39th District.",15699731,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0048,2016-01-29,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-16 at 5:30pm, they were stopped for investigation by officers assigned to the 14th District. The complainant noticed personal property missing after the conclusion of investigation.",41203634,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0048,2016-01-29,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-16 at 5:30pm, they were stopped for investigation by officers assigned to the 14th District. The complainant noticed personal property missing after the conclusion of investigation.",62685510,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0049,2016-02-04,0200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-26-16 at 4:00pm, they were verbally abused by an off duty corporal assigned to the 24th District.",12923623,latino,female,2400 24TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0050,2016-02-02,3500,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 8:20pm, they did not receive proper service from officers and a sergeant assigned to the 35th District.",16958352,white,female,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0050,2016-02-02,3500,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 8:20pm, they did not receive proper service from officers and a sergeant assigned to the 35th District.",63424684,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0050,2016-02-02,3500,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 8:20pm, they did not receive proper service from officers and a sergeant assigned to the 35th District.",93242780,latino,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0051,2016-01-29,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-16 at 12:43am, officers assigned to the 3rd District did not follow proper procedures.",97893258,black,male,1700 17TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
